cell_id,candidate_id,entry_id,headword_observed,sense_es,verb_class,tam,person,status,surface_observed,evidence_id,evidence_type,source_id,source_locator,source_context,dialect_scope,subject_realization,orthography_status,license_effect,notes
NC001-V10-COMPLETIVE-2SG,NC001-V10,ga7na,riga'na,"Tocar, tentar, palpar, manosear.",D,COMPLETIVE,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V10-COMPLETIVE-3SG_HUMAN,NC001-V10,ga7na,riga'na,"Tocar, tentar, palpar, manosear.",D,COMPLETIVE,3SG_HUMAN,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V11-HABITUAL-1SG,NC001-V11,gaa,rigaa [2],"Echar, verter o regar un líquido.",D,HABITUAL,1SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V11-HABITUAL-2SG,NC001-V11,gaa,rigaa [2],"Echar, verter o regar un líquido.",D,HABITUAL,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V11-HABITUAL-3SG_HUMAN,NC001-V11,gaa,rigaa [2],"Echar, verter o regar un líquido.",D,HABITUAL,3SG_HUMAN,ATTESTED,rigaa,EVID-DIC-GAA-H-3SG-001,DIRECT_DICTIONARIA_EXAMPLE_WITH_FULL_HUMAN_NP_SUBJECT,BIB054_DICTIONARIA,"entry gaa / selected sense “echar, verter líquido” / example Belma rigaa nisa…",Belma rigaa nisa… — Belma echa agua… todas las mañanas,MULTI_VARIETY_SOURCE; JUCHITAN_COMPATIBLE_NOT_CELL_LOCAL,FULL_NP_HUMAN_ZERO_DEPENDENT_PRONOUN,SOURCE_RENDERED_SURFACE,PARADIGM_CELL_ATTESTED_FOR_ANALYSIS; TARGET_SURFACE_GENERATION_BLOCKED_DIALECT_CELL_LOCALITY+SENSE_DISAMBIGUATION,Direct cell evidence materialized; this is not by itself a GenerationLicense.
NC001-V11-COMPLETIVE-1SG,NC001-V11,gaa,rigaa [2],"Echar, verter o regar un líquido.",D,COMPLETIVE,1SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V11-COMPLETIVE-2SG,NC001-V11,gaa,rigaa [2],"Echar, verter o regar un líquido.",D,COMPLETIVE,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V11-COMPLETIVE-3SG_HUMAN,NC001-V11,gaa,rigaa [2],"Echar, verter o regar un líquido.",D,COMPLETIVE,3SG_HUMAN,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V12-HABITUAL-1SG,NC001-V12,guu,riguu,"Meter, insertar, introducir, ingresar.",D,HABITUAL,1SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V12-HABITUAL-2SG,NC001-V12,guu,riguu,"Meter, insertar, introducir, ingresar.",D,HABITUAL,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V12-HABITUAL-3SG_HUMAN,NC001-V12,guu,riguu,"Meter, insertar, introducir, ingresar.",D,HABITUAL,3SG_HUMAN,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V12-COMPLETIVE-1SG,NC001-V12,guu,riguu,"Meter, insertar, introducir, ingresar.",D,COMPLETIVE,1SG,ATTESTED,(G)uluaá',EVID-DIC-GUU-C-1SG-001,DIRECT_DICTIONARIA_EXAMPLE_WITH_SPANISH_GLOSS,BIB054_DICTIONARIA,entry guu / sense 994 / example 1,(G)uluaá' ti gól. — ‘Metí un gol.’,MULTI_VARIETY_SOURCE; JUCHITAN_COMPATIBLE_NOT_CELL_LOCAL,1SG_SURFACE_DIRECTLY_GLOSSED,SOURCE_VARIANT_NOTATION_PARENTHETICAL_INITIAL_PRESERVED,PARADIGM_CELL_ATTESTED_FOR_ANALYSIS; TARGET_SURFACE_GENERATION_BLOCKED_DIALECT+ORTHOGRAPHY,Direct cell evidence materialized; this is not by itself a GenerationLicense.
NC001-V12-COMPLETIVE-2SG,NC001-V12,guu,riguu,"Meter, insertar, introducir, ingresar.",D,COMPLETIVE,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V12-COMPLETIVE-3SG_HUMAN,NC001-V12,guu,riguu,"Meter, insertar, introducir, ingresar.",D,COMPLETIVE,3SG_HUMAN,ATTESTED,Guluube,EVID-DIC-GUU-C-3SG-001,DIRECT_DICTIONARIA_EXAMPLE_WITH_SPANISH_GLOSS,BIB054_DICTIONARIA,entry guu / sense 994 / example 2,Guluube gueta ndaani' dxumì. — ‘Ella/él mete la tortilla adentro de la canasta.’,MULTI_VARIETY_SOURCE; JUCHITAN_COMPATIBLE_NOT_CELL_LOCAL,DEPENDENT_3HUM_BE,SOURCE_RENDERED_SURFACE,PARADIGM_CELL_ATTESTED_FOR_ANALYSIS; TARGET_SURFACE_GENERATION_BLOCKED_DIALECT_CELL_LOCALITY,Direct cell evidence materialized; this is not by itself a GenerationLicense.
