alignment_id,surface_raw,analysis_type,analysis_value,source_id,source_location,dialect_scope,status,semantic_note
PIC-APV-005,Huaxié' rinié didxazá.,FREQUENT_PHRASE,SPEAK_LITTLE_ZAPOTEC,BIB055_PICKETT_VOCABULARIO,"Apéndice V, pp.123–124+",JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,Exact frequent phrase documented in Vocabulario.
PIC-APV-006,Rinié didxastiá.,FREQUENT_PHRASE,SPEAK_SPANISH,BIB055_PICKETT_VOCABULARIO,"Apéndice V, pp.123–124+",JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,Exact frequent phrase documented in Vocabulario.
PIC-APV-007,Riniú' didxastiá la?,FREQUENT_PHRASE,SPEAK_SPANISH_Q,BIB055_PICKETT_VOCABULARIO,"Apéndice V, pp.123–124+",JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,Exact frequent phrase documented in Vocabulario.
PIC-APV-008,Qué rinié didxastiá.,FREQUENT_PHRASE,NEG_SPEAK_SPANISH,BIB055_PICKETT_VOCABULARIO,"Apéndice V, pp.123–124+",JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,Exact frequent phrase documented in Vocabulario.
PIC-APV-009,Qué riene didxastiá.,FREQUENT_PHRASE,NEG_UNDERSTAND_SPANISH,BIB055_PICKETT_VOCABULARIO,"Apéndice V, pp.123–124+",JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,Exact frequent phrase documented in Vocabulario.
PIC-APV-010,Huaxié' rinié didxastiá.,FREQUENT_PHRASE,SPEAK_LITTLE_SPANISH,BIB055_PICKETT_VOCABULARIO,"Apéndice V, pp.123–124+",JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,Exact frequent phrase documented in Vocabulario.
PIC-APV-011,Qué ñene lu la?,FREQUENT_PHRASE,NEG_UNDERSTAND_PAST_Q,BIB055_PICKETT_VOCABULARIO,"Apéndice V, pp.123–124+",JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,Exact frequent phrase documented in Vocabulario.
PIC-APV-012,Por favor uní' ni sti tiru peru jma chaahui'.,FREQUENT_PHRASE,REPEAT_SLOWER_REQUEST,BIB055_PICKETT_VOCABULARIO,"Apéndice V, pp.123–124+",JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,Exact frequent phrase documented in Vocabulario.
PIC-APV-013,Caziide didxazá.,FREQUENT_PHRASE,LEARNING_ZAPOTEC,BIB055_PICKETT_VOCABULARIO,"Apéndice V, pp.123–124+",JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,Exact frequent phrase documented in Vocabulario.
PIC-APV-014,Caziide didxastiá.,FREQUENT_PHRASE,LEARNING_SPANISH,BIB055_PICKETT_VOCABULARIO,"Apéndice V, pp.123–124+",JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,Exact frequent phrase documented in Vocabulario.
PIC-APV-015,Sicarú ni,FREQUENT_PHRASE,IT_IS_PRETTY,BIB055_PICKETT_VOCABULARIO,"Apéndice V, pp.123–124+",JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,Exact frequent phrase documented in Vocabulario.
PIC-APV-016,Xii ndi',FREQUENT_PHRASE,WHAT_IS_THIS,BIB055_PICKETT_VOCABULARIO,"Apéndice V, pp.123–124+",JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,Exact frequent phrase documented in Vocabulario.
